"Año";"Periodo";"Número de fallecidos por fecha de defunción"
"2021";"Día 11 de febrero";"25"
"2021";"Día 12 de febrero";"27"
"2021";"Día 13 de febrero";"21"
"2021";"Día 14 de febrero";"15"
"2021";"Día 15 de febrero";"19"
"2021";"Día 16 de febrero";"21"
"2021";"Día 17 de febrero";"25"
"2021";"Día 18 de febrero";"10"
"2021";"Día 19 de febrero";"12"
"2021";"Día 20 de febrero";"6"
"2021";"Día 21 de febrero";"12"
"2021";"Día 22 de febrero";"15"
"2021";"Día 23 de febrero";"17"
"2021";"Día 24 de febrero";"16"
"2021";"Día 25 de febrero";"16"
"2021";"Día 26 de febrero";"19"
"2021";"Día 27 de febrero";"6"
"2021";"Día 28 de febrero";"11"
"2021";"Día 1 de marzo";"12"
"2021";"Día 2 de marzo";"12"
"2021";"Día 3 de marzo";"9"
"2021";"Día 4 de marzo";"15"
"2021";"Día 5 de marzo";"5"
"2021";"Día 6 de marzo";"11"
"2021";"Día 7 de marzo";"6"
"2021";"Día 8 de marzo";"8"
"2021";"Día 9 de marzo";"11"
"2021";"Día 10 de marzo";"3"
"2021";"Día 11 de marzo";"10"
"2021";"Día 12 de marzo";"8"
"2021";"Día 13 de marzo";"11"
"2021";"Día 14 de marzo";"8"
"2021";"Día 15 de marzo";"7"
"2021";"Día 16 de marzo";"11"
"2021";"Día 17 de marzo";"9"
"2021";"Día 18 de marzo";"4"
"2021";"Día 19 de marzo";"9"
"2021";"Día 20 de marzo";"9"
"2021";"Día 21 de marzo";"4"
"2021";"Día 22 de marzo";"3"
"2021";"Día 23 de marzo";"8"
"2021";"Día 24 de marzo";"6"
"2021";"Día 25 de marzo";"6"
"2021";"Día 26 de marzo";"7"
"2021";"Día 27 de marzo";"6"
"2021";"Día 28 de marzo";"4"
"2021";"Día 29 de marzo";"5"
"2021";"Día 30 de marzo";"8"
"2021";"Día 31 de marzo";"4"
"2021";"Día 1 de abril";"7"
"2021";"Día 2 de abril";"6"
"2021";"Día 3 de abril";"1"
"2021";"Día 4 de abril";"7"
"2021";"Día 5 de abril";"7"
"2021";"Día 6 de abril";"5"
"2021";"Día 7 de abril";"3"
"2021";"Día 8 de abril";"5"
"2021";"Día 9 de abril";"4"
"2021";"Día 10 de abril";"6"
"2021";"Día 11 de abril";"6"
"2021";"Día 12 de abril";"4"
"2021";"Día 13 de abril";"3"
"2021";"Día 14 de abril";"3"
"2021";"Día 15 de abril";"8"
"2021";"Día 16 de abril";"3"
"2021";"Día 17 de abril";"4"
"2021";"Día 18 de abril";"7"
"2021";"Día 19 de abril";"3"
"2021";"Día 20 de abril";"5"
"2021";"Día 21 de abril";"4"
"2021";"Día 22 de abril";"9"
"2021";"Día 23 de abril";"3"
"2021";"Día 24 de abril";"5"
"2021";"Día 25 de abril";"1"
"2021";"Día 26 de abril";"4"
"2021";"Día 27 de abril";"3"
"2021";"Día 28 de abril";"3"
"2021";"Día 29 de abril";"4"
"2021";"Día 30 de abril";"5"
"2021";"Día 1 de mayo";"6"
"2021";"Día 2 de mayo";"3"
"2021";"Día 3 de mayo";"6"
"2021";"Día 4 de mayo";"6"
"2021";"Día 5 de mayo";"3"
"2021";"Día 6 de mayo";"0"
"2021";"Día 7 de mayo";"4"
"2021";"Día 8 de mayo";"1"
"2021";"Día 9 de mayo";"4"
"2021";"Día 10 de mayo";"3"
"2021";"Día 11 de mayo";"1"
"2021";"Día 12 de mayo";"2"
"2021";"Día 13 de mayo";"6"
"2021";"Día 14 de mayo";"4"
"2021";"Día 15 de mayo";"1"
"2021";"Día 16 de mayo";"4"
"2021";"Día 17 de mayo";"3"
"2021";"Día 18 de mayo";"2"
"2021";"Día 19 de mayo";"2"
"2021";"Día 20 de mayo";"2"
"2021";"Día 21 de mayo";"1"
"2021";"Día 22 de mayo";"0"
"2021";"Día 23 de mayo";"5"
"2021";"Día 24 de mayo";"1"
"2021";"Día 25 de mayo";"0"
"2021";"Día 26 de mayo";"3"
"2021";"Día 27 de mayo";"0"
"2021";"Día 28 de mayo";"2"
"2021";"Día 29 de mayo";"0"
"2021";"Día 30 de mayo";"0"
"2021";"Día 31 de mayo";"2"
"2021";"Día 1 de junio";"3"
"2021";"Día 2 de junio";"2"
"2021";"Día 3 de junio";"1"
"2021";"Día 4 de junio";"2"
"2021";"Día 5 de junio";"2"
"2021";"Día 6 de junio";"2"
"2021";"Día 7 de junio";"2"
"2021";"Día 8 de junio";"0"
"2021";"Día 9 de junio";"2"
"2021";"Día 10 de junio";"2"
"2021";"Día 11 de junio";"2"
"2021";"Día 12 de junio";"1"
"2021";"Día 13 de junio";"1"
"2021";"Día 14 de junio";"1"
"2021";"Día 15 de junio";"2"
"2021";"Día 16 de junio";"0"
"2021";"Día 17 de junio";"0"
"2021";"Día 18 de junio";"0"
"2021";"Día 19 de junio";"1"
"2021";"Día 20 de junio";"2"
"2021";"Día 21 de junio";"1"
"2021";"Día 22 de junio";"1"
"2021";"Día 23 de junio";"2"
"2021";"Día 24 de junio";"1"
"2021";"Día 25 de junio";"1"
"2021";"Día 26 de junio";"2"
"2021";"Día 27 de junio";"3"
"2021";"Día 28 de junio";"1"
"2021";"Día 29 de junio";"1"
"2021";"Día 30 de junio";"1"
"2021";"Día 1 de julio";"1"
"2021";"Día 2 de julio";"0"
"2021";"Día 3 de julio";"1"
"2021";"Día 4 de julio";"0"
"2021";"Día 5 de julio";"0"
"2021";"Día 6 de julio";"1"
"2021";"Día 7 de julio";"0"
"2021";"Día 8 de julio";"0"
"2021";"Día 9 de julio";"1"
"2021";"Día 10 de julio";"1"
"2021";"Día 11 de julio";"2"
"2021";"Día 12 de julio";"1"
"2021";"Día 13 de julio";"1"
"2021";"Día 14 de julio";"0"
"2021";"Día 15 de julio";"2"
"2021";"Día 16 de julio";"1"
"2021";"Día 17 de julio";"1"
"2021";"Día 18 de julio";"1"
"2021";"Día 19 de julio";"3"
"2021";"Día 20 de julio";"3"
"2021";"Día 21 de julio";"2"
"2021";"Día 22 de julio";"7"
"2021";"Día 23 de julio";"4"
"2021";"Día 24 de julio";"2"
"2021";"Día 25 de julio";"6"
"2021";"Día 26 de julio";"5"
"2021";"Día 27 de julio";"6"
"2021";"Día 28 de julio";"4"
"2021";"Día 29 de julio";"3"
"2021";"Día 30 de julio";"7"
"2021";"Día 31 de julio";"6"
"2021";"Día 1 de agosto";"8"
"2021";"Día 2 de agosto";"7"
"2021";"Día 3 de agosto";"9"
"2021";"Día 4 de agosto";"8"
"2021";"Día 5 de agosto";"7"
"2021";"Día 6 de agosto";"9"
"2021";"Día 7 de agosto";"6"
"2021";"Día 8 de agosto";"6"
"2021";"Día 9 de agosto";"6"
"2021";"Día 10 de agosto";"5"
"2021";"Día 11 de agosto";"7"
"2021";"Día 12 de agosto";"6"
"2021";"Día 13 de agosto";"11"
"2021";"Día 14 de agosto";"6"
"2021";"Día 15 de agosto";"5"
"2021";"Día 16 de agosto";"7"
"2021";"Día 17 de agosto";"6"
"2021";"Día 18 de agosto";"6"
"2021";"Día 19 de agosto";"4"
"2021";"Día 20 de agosto";"7"
"2021";"Día 21 de agosto";"6"
"2021";"Día 22 de agosto";"5"
"2021";"Día 23 de agosto";"7"
"2021";"Día 24 de agosto";"7"
"2021";"Día 25 de agosto";"5"
"2021";"Día 26 de agosto";"7"
"2021";"Día 27 de agosto";"5"
"2021";"Día 28 de agosto";"10"
"2021";"Día 29 de agosto";"7"
"2021";"Día 30 de agosto";"7"
"2021";"Día 31 de agosto";"5"
"2021";"Día 1 de septiembre";"5"
"2021";"Día 2 de septiembre";"5"
"2021";"Día 3 de septiembre";"4"
"2021";"Día 4 de septiembre";"6"
"2021";"Día 5 de septiembre";"4"
"2021";"Día 6 de septiembre";"8"
"2021";"Día 7 de septiembre";"2"
"2021";"Día 8 de septiembre";"7"
"2021";"Día 9 de septiembre";"3"
"2021";"Día 10 de septiembre";"6"
"2021";"Día 11 de septiembre";"5"
"2021";"Día 12 de septiembre";"6"
"2021";"Día 13 de septiembre";"5"
"2021";"Día 14 de septiembre";"4"
"2021";"Día 15 de septiembre";"8"
"2021";"Día 16 de septiembre";"4"
"2021";"Día 17 de septiembre";"5"
"2021";"Día 18 de septiembre";"4"
"2021";"Día 19 de septiembre";"2"
"2021";"Día 20 de septiembre";"3"
"2021";"Día 21 de septiembre";"2"
"2021";"Día 22 de septiembre";"1"
"2021";"Día 23 de septiembre";"2"
"2021";"Día 24 de septiembre";"1"
"2021";"Día 25 de septiembre";"3"
"2021";"Día 26 de septiembre";"1"
"2021";"Día 27 de septiembre";"2"
"2021";"Día 28 de septiembre";"0"
"2021";"Día 29 de septiembre";"0"
"2021";"Día 30 de septiembre";"2"
"2021";"Día 1 de octubre";"1"
"2021";"Día 2 de octubre";"0"
"2021";"Día 3 de octubre";"1"
"2021";"Día 4 de octubre";"1"
"2021";"Día 5 de octubre";"0"
"2021";"Día 6 de octubre";"2"
"2021";"Día 7 de octubre";"0"
