Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
01 Andalucía;De 2.001 a 5.000 ;2012;649.423
01 Andalucía;De 2.001 a 5.000 ;2011;643.937
01 Andalucía;De 2.001 a 5.000 ;2010;642.897
01 Andalucía;De 2.001 a 5.000 ;2009;657.101
01 Andalucía;De 2.001 a 5.000 ;2008;655.275
01 Andalucía;De 2.001 a 5.000 ;2007;660.597
01 Andalucía;De 2.001 a 5.000 ;2006;653.271
01 Andalucía;De 2.001 a 5.000 ;2005;653.484
01 Andalucía;De 2.001 a 5.000 ;2004;653.979
01 Andalucía;De 2.001 a 5.000 ;2003;655.315
01 Andalucía;De 2.001 a 5.000 ;2002;658.321
01 Andalucía;De 2.001 a 5.000 ;2001;654.808
01 Andalucía;De 2.001 a 5.000 ;2000;637.682
01 Andalucía;De 2.001 a 5.000 ;1999;637.810
01 Andalucía;De 2.001 a 5.000 ;1998;651.233
01 Andalucía;De 2.001 a 5.000 ;1997;""
01 Andalucía;De 2.001 a 5.000 ;1996;654.667
01 Andalucía;De 5.001 a 10.000 ;2021;738.005
01 Andalucía;De 5.001 a 10.000 ;2020;724.596
01 Andalucía;De 5.001 a 10.000 ;2019;727.459
01 Andalucía;De 5.001 a 10.000 ;2018;719.844
01 Andalucía;De 5.001 a 10.000 ;2017;719.203
01 Andalucía;De 5.001 a 10.000 ;2016;715.454
01 Andalucía;De 5.001 a 10.000 ;2015;717.654
01 Andalucía;De 5.001 a 10.000 ;2014;734.420
01 Andalucía;De 5.001 a 10.000 ;2013;764.654
01 Andalucía;De 5.001 a 10.000 ;2012;769.639
01 Andalucía;De 5.001 a 10.000 ;2011;770.930
01 Andalucía;De 5.001 a 10.000 ;2010;774.164
01 Andalucía;De 5.001 a 10.000 ;2009;755.995
01 Andalucía;De 5.001 a 10.000 ;2008;741.250
01 Andalucía;De 5.001 a 10.000 ;2007;737.288
01 Andalucía;De 5.001 a 10.000 ;2006;759.785
01 Andalucía;De 5.001 a 10.000 ;2005;751.974
01 Andalucía;De 5.001 a 10.000 ;2004;745.422
01 Andalucía;De 5.001 a 10.000 ;2003;744.603
01 Andalucía;De 5.001 a 10.000 ;2002;751.068
01 Andalucía;De 5.001 a 10.000 ;2001;744.332
01 Andalucía;De 5.001 a 10.000 ;2000;783.347
01 Andalucía;De 5.001 a 10.000 ;1999;781.479
01 Andalucía;De 5.001 a 10.000 ;1998;769.948
01 Andalucía;De 5.001 a 10.000 ;1997;""
01 Andalucía;De 5.001 a 10.000 ;1996;776.166
01 Andalucía;De 10.001 a 20.000 ;2021;1.014.969
01 Andalucía;De 10.001 a 20.000 ;2020;1.009.938
01 Andalucía;De 10.001 a 20.000 ;2019;1.023.069
01 Andalucía;De 10.001 a 20.000 ;2018;1.029.568
01 Andalucía;De 10.001 a 20.000 ;2017;1.027.016
01 Andalucía;De 10.001 a 20.000 ;2016;1.025.810
01 Andalucía;De 10.001 a 20.000 ;2015;1.048.197
01 Andalucía;De 10.001 a 20.000 ;2014;1.071.106
01 Andalucía;De 10.001 a 20.000 ;2013;1.053.848
01 Andalucía;De 10.001 a 20.000 ;2012;1.031.221
01 Andalucía;De 10.001 a 20.000 ;2011;1.025.403
01 Andalucía;De 10.001 a 20.000 ;2010;1.005.996
01 Andalucía;De 10.001 a 20.000 ;2009;1.014.201
01 Andalucía;De 10.001 a 20.000 ;2008;1.036.245
01 Andalucía;De 10.001 a 20.000 ;2007;1.038.508
01 Andalucía;De 10.001 a 20.000 ;2006;1.008.755
01 Andalucía;De 10.001 a 20.000 ;2005;1.044.799
01 Andalucía;De 10.001 a 20.000 ;2004;1.051.944
01 Andalucía;De 10.001 a 20.000 ;2003;1.052.162
01 Andalucía;De 10.001 a 20.000 ;2002;1.022.550
01 Andalucía;De 10.001 a 20.000 ;2001;1.055.922
01 Andalucía;De 10.001 a 20.000 ;2000;1.012.566
01 Andalucía;De 10.001 a 20.000 ;1999;978.195
01 Andalucía;De 10.001 a 20.000 ;1998;966.360
01 Andalucía;De 10.001 a 20.000 ;1997;""
01 Andalucía;De 10.001 a 20.000 ;1996;996.579
01 Andalucía;De 20.001 a 50.000 ;2021;1.524.197
01 Andalucía;De 20.001 a 50.000 ;2020;1.516.359
