Serie mensual;001-102  I-XXII.Todas las causas;00A COVID-19. Virus identificado;00B COVID-19. Virus no identificado (sospechoso);062-067  X.Enfermedades del sistema respiratorio;062  Influenza (gripe) (incluye gripe aviar y gripe A);063  Neumonía;064  Enfermedades crónicas de las vías respiratorias inferiores (excepto asma);065  Asma;066  Insuficiencia respiratoria;067  Otras enfermedades del sistema respiratorio
1993M06;25342.0;0.0;0.0;2144.0;8.0;466.0;892.0;62.0;108.0;608.0
1993M07;26138.0;0.0;0.0;2141.0;2.0;453.0;856.0;73.0;128.0;629.0
1993M08;26464.0;0.0;0.0;2288.0;3.0;483.0;895.0;60.0;117.0;730.0
1993M09;24244.0;0.0;0.0;1839.0;2.0;392.0;757.0;43.0;100.0;545.0
1993M10;27790.0;0.0;0.0;2408.0;13.0;514.0;998.0;72.0;102.0;709.0
1993M11;27570.0;0.0;0.0;2595.0;19.0;579.0;1130.0;71.0;109.0;687.0
1993M12;32030.0;0.0;0.0;3487.0;65.0;739.0;1515.0;105.0;140.0;923.0
1994M01;35324.0;0.0;0.0;4677.0;135.0;981.0;2101.0;136.0;162.0;1162.0
1994M02;29616.0;0.0;0.0;3435.0;54.0;725.0;1535.0;105.0;145.0;871.0
1994M03;28590.0;0.0;0.0;2717.0;21.0;556.0;1232.0;91.0;126.0;691.0
1994M04;26991.0;0.0;0.0;2399.0;9.0;473.0;1091.0;78.0;97.0;651.0
1994M05;26746.0;0.0;0.0;2436.0;11.0;481.0;1086.0;56.0;115.0;687.0
1994M06;25350.0;0.0;0.0;2164.0;8.0;417.0;950.0;57.0;92.0;640.0
1994M07;29468.0;0.0;0.0;2624.0;5.0;653.0;1018.0;81.0;122.0;745.0
1994M08;27408.0;0.0;0.0;2373.0;2.0;512.0;958.0;74.0;134.0;693.0
1994M09;24731.0;0.0;0.0;2003.0;4.0;387.0;845.0;64.0;73.0;630.0
1994M10;27295.0;0.0;0.0;2430.0;19.0;501.0;1064.0;72.0;90.0;684.0
1994M11;26756.0;0.0;0.0;2336.0;20.0;453.0;1071.0;69.0;101.0;622.0
1994M12;29967.0;0.0;0.0;2636.0;12.0;520.0;1189.0;80.0;118.0;717.0
1995M01;33787.0;0.0;0.0;3849.0;61.0;747.0;1737.0;97.0;152.0;1055.0
1995M02;29151.0;0.0;0.0;3597.0;92.0;668.0;1649.0;105.0;118.0;965.0
1995M03;31853.0;0.0;0.0;3532.0;72.0;700.0;1646.0;74.0;131.0;909.0
1995M04;28486.0;0.0;0.0;2999.0;30.0;600.0;1364.0;85.0;132.0;788.0
1995M05;27481.0;0.0;0.0;2653.0;8.0;534.0;1210.0;76.0;94.0;731.0
1995M06;25542.0;0.0;0.0;2127.0;4.0;427.0;942.0;54.0;87.0;613.0
1995M07;29164.0;0.0;0.0;2500.0;4.0;540.0;1028.0;66.0;125.0;737.0
1995M08;26989.0;0.0;0.0;2327.0;3.0;518.0;945.0;62.0;100.0;699.0
1995M09;25159.0;0.0;0.0;2093.0;10.0;431.0;876.0;50.0;86.0;640.0
1995M10;26990.0;0.0;0.0;2418.0;16.0;530.0;1006.0;61.0;105.0;700.0
1995M11;27316.0;0.0;0.0;2472.0;16.0;551.0;1071.0;62.0;88.0;684.0
1995M12;34309.0;0.0;0.0;4142.0;100.0;857.0;1815.0;123.0;167.0;1080.0
1996M01;33783.0;0.0;0.0;4441.0;163.0;891.0;1900.0;132.0;186.0;1169.0
1996M02;30515.0;0.0;0.0;3500.0;45.0;646.0;1648.0;100.0;130.0;931.0
1996M03;32510.0;0.0;0.0;3603.0;34.0;686.0;1629.0;102.0;167.0;985.0
1996M04;28092.0;0.0;0.0;2960.0;22.0;558.0;1322.0;84.0;140.0;834.0
1996M05;28249.0;0.0;0.0;2624.0;8.0;529.0;1153.0;68.0;108.0;758.0
1996M06;26829.0;0.0;0.0;2524.0;2.0;485.0;1071.0;77.0;100.0;789.0
1996M07;28140.0;0.0;0.0;2451.0;2.0;485.0;1018.0;76.0;118.0;752.0
1996M08;26483.0;0.0;0.0;2335.0;3.0;479.0;961.0;71.0;116.0;705.0
1996M09;25872.0;0.0;0.0;2264.0;4.0;409.0;985.0;68.0;96.0;702.0
1996M10;27876.0;0.0;0.0;2494.0;23.0;567.0;1011.0;58.0;113.0;722.0
1996M11;28994.0;0.0;0.0;2880.0;29.0;553.0;1254.0;80.0;124.0;840.0
1996M12;34106.0;0.0;0.0;4238.0;100.0;856.0;1811.0;101.0;198.0;1172.0
1997M01;38937.0;0.0;0.0;5734.0;216.0;1157.0;2455.0;163.0;242.0;1501.0
1997M02;30320.0;0.0;0.0;3863.0;99.0;727.0;1784.0;93.0;152.0;1008.0
1997M03;31066.0;0.0;0.0;3665.0;31.0;697.0;1676.0;96.0;146.0;1019.0
1997M04;28496.0;0.0;0.0;3031.0;17.0;572.0;1388.0;82.0;126.0;846.0
1997M05;27761.0;0.0;0.0;2616.0;7.0;511.0;1144.0;81.0;119.0;754.0
1997M06;25867.0;0.0;0.0;2277.0;3.0;472.0;971.0;68.0;104.0;659.0
1997M07;27079.0;0.0;0.0;2362.0;4.0;494.0;982.0;81.0;116.0;685.0
1997M08;27763.0;0.0;0.0;2600.0;2.0;559.0;1040.0;62.0;110.0;827.0
1997M09;25300.0;0.0;0.0;2112.0;1.0;412.0;903.0;49.0;92.0;655.0
1997M10;26782.0;0.0;0.0;2331.0;7.0;488.0;955.0;65.0;87.0;729.0
1997M11;28498.0;0.0;0.0;2683.0;15.0;593.0;1084.0;70.0;104.0;817.0
1997M12;31652.0;0.0;0.0;3245.0;33.0;655.0;1347.0;81.0;130.0;999.0
1998M01;35096.0;0.0;0.0;4665.0;124.0;917.0;2005.0;119.0;174.0;1326.0
1998M02;34733.0;0.0;0.0;5512.0;246.0;1110.0;2329.0;124.0;193.0;1510.0
1998M03;33595.0;0.0;0.0;4566.0;113.0;946.0;1954.0;124.0;145.0;1284.0
1998M04;28957.0;0.0;0.0;3130.0;35.0;608.0;1378.0;91.0;114.0;904.0
1998M05;28276.0;0.0;0.0;2700.0;6.0;523.0;1151.0;61.0;120.0;839.0
1998M06;26791.0;0.0;0.0;2433.0;4.0;458.0;1085.0;78.0;92.0;716.0
1998M07;28785.0;0.0;0.0;2646.0;9.0;507.0;1107.0;83.0;102.0;838.0
1998M08;28211.0;0.0;0.0;2674.0;5.0;547.0;1035.0;44.0;121.0;922.0
1998M09;25553.0;0.0;0.0;2311.0;4.0;459.0;953.0;65.0;107.0;723.0
1998M10;28296.0;0.0;0.0;2655.0;23.0;496.0;1077.0;74.0;117.0;868.0
1998M11;27844.0;0.0;0.0;2558.0;13.0;521.0;1049.0;65.0;111.0;799.0
1998M12;34374.0;0.0;0.0;3897.0;38.0;779.0;1602.0;115.0;164.0;1199.0
1999M01;40691.0;0.0;0.0;6720.0;363.0;1230.0;2656.0;176.0;534.0;1761.0
1999M02;39898.0;0.0;0.0;7408.0;476.0;1347.0;2935.0;165.0;558.0;1927.0
1999M03;34486.0;0.0;0.0;5230.0;194.0;961.0;2112.0;125.0;430.0;1408.0
1999M04;28878.0;0.0;0.0;3321.0;31.0;589.0;1429.0;72.0;298.0;902.0
1999M05;28011.0;0.0;0.0;2886.0;9.0;545.0;1203.0;83.0;239.0;807.0
1999M06;25938.0;0.0;0.0;2387.0;3.0;447.0;964.0;47.0;228.0;698.0
1999M07;28160.0;0.0;0.0;2679.0;6.0;526.0;987.0;61.0;275.0;824.0
1999M08;27995.0;0.0;0.0;2614.0;2.0;501.0;964.0;80.0;243.0;824.0
1999M09;25750.0;0.0;0.0;2354.0;3.0;439.0;908.0;52.0;203.0;749.0
1999M10;28039.0;0.0;0.0;2605.0;17.0;479.0;1030.0;56.0;219.0;804.0
1999M11;29342.0;0.0;0.0;2882.0;12.0;553.0;1128.0;56.0;229.0;904.0
1999M12;33914.0;0.0;0.0;4108.0;70.0;685.0;1676.0;83.0;379.0;1215.0
2000M01;42568.0;0.0;0.0;7594.0;454.0;1393.0;2819.0;150.0;660.0;2118.0
2000M02;32201.0;0.0;0.0;4695.0;163.0;913.0;1844.0;112.0;390.0;1273.0
2000M03;30212.0;0.0;0.0;3518.0;25.0;618.0;1433.0;78.0;328.0;1036.0
2000M04;29357.0;0.0;0.0;3176.0;15.0;576.0;1308.0;62.0;282.0;933.0
2000M05;28493.0;0.0;0.0;2901.0;7.0;547.0;1122.0;58.0;288.0;879.0
2000M06;27470.0;0.0;0.0;2649.0;4.0;467.0;1005.0;59.0;278.0;836.0
2000M07;27960.0;0.0;0.0;2606.0;5.0;475.0;983.0;45.0;266.0;832.0
2000M08;27875.0;0.0;0.0;2614.0;1.0;500.0;974.0;47.0;247.0;845.0
2000M09;25686.0;0.0;0.0;2337.0;2.0;435.0;885.0;39.0;237.0;739.0
2000M10;28793.0;0.0;0.0;2783.0;18.0;516.0;1057.0;49.0;279.0;864.0
2000M11;29113.0;0.0;0.0;2869.0;16.0;558.0;1059.0;57.0;286.0;893.0
2000M12;30663.0;0.0;0.0;3241.0;13.0;592.0;1316.0;57.0;308.0;955.0
2001M01;32621.0;0.0;0.0;3605.0;10.0;665.0;1402.0;94.0;250.0;1184.0
2001M02;29053.0;0.0;0.0;3224.0;10.0;635.0;1274.0;72.0;207.0;1026.0
2001M03;31221.0;0.0;0.0;3368.0;23.0;626.0;1334.0;80.0;231.0;1074.0
2001M04;28799.0;0.0;0.0;3013.0;4.0;579.0;1183.0;59.0;198.0;990.0
2001M05;30478.0;0.0;0.0;3102.0;4.0;546.0;1261.0;59.0;220.0;1012.0
2001M06;28599.0;0.0;0.0;3014.0;3.0;635.0;1159.0;59.0;185.0;973.0
2001M07;29056.0;0.0;0.0;2797.0;0.0;537.0;1046.0;45.0;223.0;946.0
2001M08;29887.0;0.0;0.0;2892.0;1.0;561.0;1029.0;49.0;226.0;1026.0
2001M09;26314.0;0.0;0.0;2459.0;1.0;439.0;976.0;49.0;162.0;832.0
2001M10;28770.0;0.0;0.0;2874.0;5.0;559.0;1088.0;64.0;188.0;970.0
2001M11;30211.0;0.0;0.0;2992.0;10.0;575.0;1170.0;53.0;208.0;976.0
2001M12;35122.0;0.0;0.0;4022.0;9.0;735.0;1529.0;86.0;284.0;1379.0
2002M01;40049.0;0.0;0.0;6313.0;179.0;1217.0;2436.0;134.0;347.0;2000.0
2002M02;33242.0;0.0;0.0;4872.0;85.0;925.0;1964.0;118.0;292.0;1488.0
2002M03;33129.0;0.0;0.0;4236.0;33.0;786.0;1696.0;105.0;281.0;1335.0
2002M04;30379.0;0.0;0.0;3307.0;5.0;616.0;1360.0;70.0;187.0;1069.0
2002M05;29044.0;0.0;0.0;3026.0;1.0;555.0;1191.0;63.0;206.0;1010.0
2002M06;28851.0;0.0;0.0;2908.0;2.0;552.0;1143.0;71.0;208.0;932.0
2002M07;28793.0;0.0;0.0;2639.0;5.0;481.0;945.0;61.0;205.0;942.0
2002M08;27270.0;0.0;0.0;2496.0;0.0;478.0;901.0;48.0;184.0;885.0
2002M09;26486.0;0.0;0.0;2354.0;0.0;445.0;820.0;38.0;182.0;869.0
2002M10;29112.0;0.0;0.0;2693.0;4.0;530.0;1042.0;45.0;158.0;914.0
2002M11;29275.0;0.0;0.0;2935.0;7.0;570.0;1076.0;63.0;188.0;1031.0
2002M12;32988.0;0.0;0.0;3648.0;16.0;717.0;1373.0;78.0;264.0;1200.0
2003M01;35814.0;0.0;0.0;4523.0;31.0;806.0;1743.0;98.0;321.0;1524.0
